industry_id,industry_name,job_count
622,Footwear Manufacturing,4
1431,Retail Recyclable Materials & Used Merchandise,4
127,Animation and Post-production,4
1250,Wholesale Raw Farm Products,4
1222,Wholesale Apparel and Sewing Supplies,4
3101,Desktop Computing Software Products,3
2258,Personal and Laundry Services,3
861,"Boilers, Tanks, and Shipping Container Manufacturing",3
1909,,3
150,Horticulture,3
3239,Paper & Forest Products,3
2130,Performing Arts and Spectator Sports,3
2489,Wind Electric Power Generation,3
1713,Securities and Commodity Exchanges,3
2159,Museums,3
994,Magnetic and Optical Media Manufacturing,3
2368,Conservation Programs,3
2197,"Bed-and-Breakfasts, Hostels, Homestays",3
2318,Household Services,3
2282,,3
1187,Wholesale Machinery,3
3225,,3
876,Turned Products and Fastener Manufacturing,3
1423,Retail Florists,3
419,Utility System Construction,3
529,Baked Goods Manufacturing,3
1095,Mattress and Blinds Manufacturing,2
564,,2
1600,,2
1517,,2
1497,Urban Transit Services,2
1956,,2
413,Nonresidential Building Construction,2
1407,Retail Musical Instruments,2
2122,,2
2125,,2
2133,Theater Companies,2
1029,Transportation Equipment Manufacturing,2
2167,Amusement Parks and Arcades,2
3133,,2
1221,Wholesale Drugs and Sundries,2
887,"Metal Valve, Ball, and Roller Manufacturing",2
1212,Wholesale Paper Products,2
2272,,2
3214,Online Media,2
1153,Wholesale Photography Equipment and Supplies,2
3100,,2
1673,Credit Intermediation,2
3199,Dairy,1
3236,Maritime,1
1080,Household and Institutional Furniture Manufacturing,1
1602,,1
3232,,1
431,,1
1633,,1
3186,,1
1986,Waste Treatment and Disposal,1
453,Building Equipment Contractors,1
2360,Public Assistance Programs,1
1981,,1
1745,Pension Funds,1
616,,1
3209,,1
1759,,1
2163,Zoos and Botanical Gardens,1
2247,,1
799,Abrasives and Nonmetallic Minerals Manufacturing,1
1230,Wholesale Footwear,1
2112,,1
1649,,1
2253,,1
2050,,1
2020,,1
